id,Year,Team,G,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Points_per_Minute,Playoff
1,1980,San Antonio Spurs*,82,19755,3856,7738,0.498,52,206,0.252,3804,7532,0.505,2024,2528,0.801,1153,2515,3668,2326,771,333,1589,2103,9788,0.495470,1
2,1980,Los Angeles Lakers*,82,19880,3898,7368,0.529,20,100,0.2,3878,7268,0.534,1622,2092,0.775,1085,2653,3738,2413,774,546,1639,1784,9438,0.474748,1
3,1980,Cleveland Cavaliers,82,19930,3811,8041,0.474,36,187,0.193,3775,7854,0.481,1702,2205,0.772,1307,2381,3688,2108,764,342,1370,1934,9360,0.469644,0
4,1980,New York Knicks,82,19780,3802,7672,0.496,42,191,0.22,3760,7481,0.503,1698,2274,0.747,1236,2303,3539,2265,881,457,1613,2168,9344,0.472396,0
5,1980,Boston Celtics*,82,19880,3617,7387,0.49,162,422,0.384,3455,6965,0.496,1907,2449,0.779,1227,2457,3684,2198,809,308,1539,1974,9303,0.467958,1
6,1980,Indiana Pacers,82,19855,3639,7689,0.473,88,314,0.28,3551,7375,0.481,1753,2333,0.751,1398,2326,3724,2148,900,530,1517,1973,9119,0.459280,0
7,1980,Phoenix Suns*,82,19755,3570,7235,0.493,68,280,0.243,3502,6955,0.504,1906,2466,0.773,1071,2458,3529,2283,908,344,1629,1853,9114,0.461352,1
8,1980,Houston Rockets*,82,19930,3599,7496,0.48,104,379,0.274,3495,7117,0.491,1782,2326,0.766,1394,2217,3611,2149,782,373,1565,1927,9084,0.455795,1
9,1980,Milwaukee Bucks*,82,19805,3685,7553,0.488,50,155,0.323,3635,7398,0.491,1605,2102,0.764,1245,2396,3641,2277,778,510,1496,1937,9025,0.455693,1
10,1980,Philadelphia 76ers*,82,19855,3523,7156,0.492,27,125,0.216,3496,7031,0.497,1876,2431,0.772,1187,2635,3822,2226,792,652,1708,1860,8949,0.450718,1
11,1980,Detroit Pistons,82,19780,3643,7596,0.48,57,219,0.26,3586,7377,0.486,1590,2149,0.74,1226,2415,3641,1950,783,562,1742,2069,8933,0.451618,0
12,1980,Seattle SuperSonics*,82,19830,3554,7565,0.47,59,189,0.312,3495,7376,0.474,1730,2253,0.768,1380,2550,3930,2043,750,428,1496,1865,8897,0.448664,1
13,1980,New Jersey Nets,82,19805,3456,7504,0.461,85,298,0.285,3371,7206,0.468,1882,2406,0.782,1229,2535,3764,2094,869,581,1702,2181,8879,0.448321,0
14,1980,Denver Nuggets,82,19830,3462,7470,0.463,83,255,0.325,3379,7215,0.468,1871,2539,0.737,1311,2524,3835,2079,746,404,1533,1917,8878,0.447705,0
15,1980,Kansas City Kings*,82,19805,3582,7489,0.478,25,114,0.219,3557,7375,0.482,1671,2250,0.743,1187,2429,3616,2123,863,356,1439,2135,8860,0.447362,1
16,1980,San Diego Clippers,82,19755,3524,7494,0.47,177,543,0.326,3347,6951,0.482,1595,2167,0.736,1294,2308,3602,1688,664,288,1443,1896,8820,0.446469,0
17,1980,Chicago Bulls,82,19905,3362,6943,0.484,70,275,0.255,3292,6668,0.494,2019,2592,0.779,1115,2465,3580,2152,704,392,1684,2146,8813,0.442753,0
18,1980,Washington Bullets*,82,19880,3574,7796,0.458,73,238,0.307,3501,7558,0.463,1552,2048,0.758,1334,2723,4057,2201,530,443,1380,1893,8773,0.441298,1
19,1980,Atlanta Hawks*,82,19780,3261,7027,0.464,13,75,0.173,3248,6952,0.467,2038,2645,0.771,1369,2406,3775,1913,782,539,1495,2293,8573,0.433418,1
20,1980,Golden State Warriors,82,19880,3527,7318,0.482,27,121,0.223,3500,7197,0.486,1412,1914,0.738,1155,2437,3592,2028,779,339,1492,2082,8493,0.427213,0
21,1980,Portland Trail Blazers*,82,19780,3408,7167,0.476,26,132,0.197,3382,7035,0.481,1560,2100,0.743,1295,2408,3703,1898,708,472,1552,1956,8402,0.424772,1
22,1980,Utah Jazz,82,19805,3382,6817,0.496,59,185,0.319,3323,6632,0.501,1571,1943,0.809,967,2359,3326,2005,656,362,1543,2006,8394,0.004191,0
23,1981,Denver Nuggets,82,19955,3784,7960,0.475,30,145,0.207,3754,7815,0.48,2388,3051,0.783,1325,2497,3822,2030,720,380,1444,2108,9986,0.500426,0
24,1981,Milwaukee Bucks*,82,19755,3722,7472,0.498,30,131,0.229,3692,7341,0.503,1802,2340,0.77,1261,2408,3669,2319,862,530,1581,2198,9276,0.469552,1
25,1981,San Antonio Spurs*,82,19805,3571,7276,0.491,15,85,0.176,3556,7191,0.495,2052,2668,0.769,1304,2582,3886,2048,685,643,1533,2114,9209,0.464984,1
26,1981,Philadelphia 76ers*,82,19855,3636,7073,0.514,19,84,0.226,3617,6989,0.518,1865,2427,0.768,1091,2618,3709,2369,857,591,1702,2061,9156,0.461143,1
27,1981,Los Angeles Lakers*,82,19805,3780,7382,0.512,17,94,0.181,3763,7288,0.516,1540,2113,0.729,1165,2491,3656,2363,808,551,1557,1955,9117,0.460338,1
28,1981,Portland Trail Blazers*,82,19855,3741,7535,0.496,25,148,0.169,3716,7387,0.503,1573,2191,0.718,1243,2388,3631,2244,769,480,1518,2034,9080,0.457316,1
29,1981,Phoenix Suns*,82,19755,3587,7326,0.49,35,161,0.217,3552,7165,0.496,1810,2430,0.745,1234,2490,3724,2205,876,416,1733,1996,9019,0.456543,1
30,1981,Boston Celtics*,82,19780,3581,7099,0.504,65,241,0.27,3516,6858,0.513,1781,2369,0.752,1155,2424,3579,2202,683,594,1577,1990,9008,0.455410,1
31,1981,Golden State Warriors,82,19730,3560,7284,0.489,60,210,0.286,3500,7074,0.495,1826,2513,0.727,1403,2366,3769,2026,611,301,1547,2158,9006,0.456462,0
32,1981,Chicago Bulls*,82,19780,3457,6903,0.501,38,179,0.212,3419,6724,0.508,1985,2563,0.774,1227,2475,3702,1925,729,514,1672,2058,8937,0.451820,1
33,1981,Houston Rockets*,82,19805,3573,7335,0.487,21,118,0.178,3552,7217,0.492,1711,2223,0.77,1216,2347,3563,2099,705,390,1451,1901,8878,0.448271,1
34,1981,New York Knicks*,82,19830,3505,7255,0.483,56,236,0.237,3449,7019,0.491,1783,2386,0.747,1137,2205,3342,1976,861,314,1461,1917,8849,0.446243,1
35,1981,Indiana Pacers*,82,19730,3491,7245,0.482,30,169,0.178,3461,7076,0.489,1815,2540,0.715,1325,2267,3592,2091,833,484,1491,2006,8827,0.447390,1
36,1981,Kansas City Kings*,82,19830,3572,7151,0.5,49,168,0.292,3523,6983,0.505,1576,2206,0.714,1037,2450,3487,2271,719,385,1448,2092,8769,0.442209,1
37,1981,New Jersey Nets,82,19805,3477,7314,0.475,34,138,0.246,3443,7176,0.48,1780,2371,0.751,1092,2374,3466,2068,750,458,1664,2204,8768,0.442716,0
38,1981,San Diego Clippers,82,19730,3477,7283,0.477,132,407,0.324,3345,6876,0.486,1651,2246,0.735,1169,2144,3313,2098,764,292,1407,2078,8737,0.442828,0
39,1981,Cleveland Cavaliers,82,19780,3556,7609,0.467,72,249,0.289,3484,7360,0.473,1486,1909,0.778,1258,2243,3501,2007,632,322,1396,1995,8670,0.438322,0
40,1981,Washington Bullets,82,19780,3549,7517,0.472,65,241,0.27,3484,7276,0.479,1499,2072,0.723,1155,2533,3688,2151,641,392,1422,1895,8662,0.437917,0
41,1981,Atlanta Hawks,82,19930,3291,6866,0.479,10,82,0.122,3281,6784,0.484,2012,2590,0.777,1201,2224,3425,1846,749,469,1605,2276,8604,0.431711,0
42,1981,Seattle SuperSonics,82,19780,3343,7145,0.468,32,117,0.274,3311,7028,0.471,1813,2376,0.763,1167,2434,3601,1945,628,438,1524,1986,8531,0.431294,0
43,1981,Dallas Mavericks,82,19780,3204,6928,0.462,46,165,0.279,3158,6763,0.467,1868,2487,0.751,1109,2177,3286,1984,561,214,1439,2008,8322,0.420728,0
44,1981,Utah Jazz,82,19730,3332,6825,0.488,42,163,0.258,3290,6662,0.494,1595,2080,0.767,962,2325,3287,1948,637,386,1423,2110,8301,0.420730,0
45,1981,Detroit Pistons,82,19755,3236,6986,0.463,13,84,0.155,3223,6902,0.467,1689,2330,0.725,1201,2111,3312,1819,884,492,1759,2125,8174,0.413769,0
46,1982,Denver Nuggets*,82,19830,3980,7656,0.52,40,149,0.268,3940,7507,0.525,2371,2978,0.796,1149,2443,3592,2272,664,368,1470,2131,10371,0.522995,1
47,1982,Los Angeles Lakers*,82,19855,3919,7585,0.517,13,94,0.138,3906,7491,0.521,1549,2161,0.717,1258,2505,3763,2356,848,517,1468,1999,9400,0.473432,1
48,1982,San Antonio Spurs*,82,19755,3698,7613,0.486,64,252,0.254,3634,7361,0.494,1812,2335,0.776,1253,2537,3790,2257,600,555,1293,2217,9272,0.469350,1
49,1982,Boston Celtics*,82,19780,3657,7334,0.499,49,184,0.266,3608,7150,0.505,1817,2457,0.74,1253,2489,3742,2126,652,568,1452,2014,9180,0.464105,1
50,1982,Philadelphia 76ers*,82,19855,3616,6974,0.518,41,139,0.295,3575,6835,0.523,1846,2471,0.747,1031,2389,3420,2264,856,622,1474,2183,9119,0.459280,1
51,1982,Detroit Pistons,82,19830,3561,7391,0.482,52,213,0.244,3509,7178,0.489,1938,2581,0.751,1298,2345,3643,2027,741,564,1629,2160,9112,0.459506,0
52,1982,Utah Jazz,82,19780,3679,7446,0.494,22,97,0.227,3657,7349,0.498,1714,2282,0.751,1147,2362,3509,1895,700,357,1435,2196,9094,0.459757,0
53,1982,Golden State Warriors,82,19780,3646,7349,0.496,91,325,0.28,3555,7024,0.506,1709,2382,0.717,1282,2452,3734,1820,685,391,1424,2225,9092,0.459656,0
54,1982,Portland Trail Blazers,82,19780,3629,7187,0.505,29,140,0.207,3600,7047,0.511,1719,2387,0.72,1142,2355,3497,2054,706,367,1390,2012,9006,0.455308,0
55,1982,San Diego Clippers,82,19755,3552,7101,0.5,99,338,0.293,3453,6763,0.511,1693,2341,0.723,1131,2196,3327,1878,636,299,1570,2353,8896,0.450316,0
56,1982,Milwaukee Bucks*,82,19805,3544,7015,0.505,49,164,0.299,3495,6851,0.51,1753,2329,0.753,1167,2415,3582,2233,763,455,1589,2281,8890,0.448877,1
57,1982,Seattle SuperSonics*,82,19830,3505,7178,0.488,38,153,0.248,3467,7025,0.494,1747,2362,0.74,1103,2544,3647,2103,691,460,1351,2057,8795,0.443520,1
58,1982,Kansas City Kings,82,19880,3604,7284,0.495,26,130,0.2,3578,7154,0.5,1551,2158,0.719,1086,2276,3362,2056,743,402,1507,2359,8785,0.441901,0
